"time","reference","prediction"
0.34,-0.8649463914664566,-0.8693870584902261
0.342,-0.8797827621220975,-0.8828704023763727
0.344,-0.8948125026411925,-0.8965885311565485
0.346,-0.9100277618291607,-0.9105362406522293
0.348,-0.9254206023799145,-0.9247081136872011
0.35,-0.9409830056250525,-0.9390985177931652
0.352,-0.9567068763295731,-0.9537016033107837
0.354,-0.9725840475311336,-0.9685113019098153
0.356,-0.988606285419828,-0.9835213255512447
0.358,-1.004765294255461,-0.9987251659134571
0.36,-1.021052721319243,-1.0141160943034424
0.362,-1.0374601618968335,-1.0296871620728643
0.364,-1.0539791642896286,-1.0454312015574483
0.366,-1.070601234851168,-1.0613408275566665
0.368,-1.0873178430455415,-1.0774084393690289
0.37,-1.1041204265246378,-1.093626223396484
0.372,-1.121000396221079,-1.1099861563294808
0.374,-1.1379491414536806,-1.1264800089221558
0.376,-1.1549580350422517,-1.1430993503648632
0.378,-1.172018438428565,-1.1598355532589517
0.38,-1.1891217068003122,-1.1766797991962066
0.382,-1.206259194214859,-1.193623084942835
0.384,-1.2234222587196149,-1.210656229225231
0.386,-1.2406022674658408,-1.227769880112048
0.388,-1.2577906018127196,-1.2449545229843588
0.39,-1.2749786624185173,-1.2622004890828853
0.392,-1.292157874315677,-1.279497964618483
0.394,-1.3093196919666954,-1.2968370004292735
0.396,-1.3264556042976459,-1.314207522165049
0.398,-1.343557139706229,-1.3315993409768596
0.4,-1.3606158710412368,-1.3490021646870463
0.402,-1.3776234205503595,-1.3664056094124355
0.404,-1.3945714647932475,-1.3837992116109645
0.406,-1.4114517395168067,-1.4011724405197166
0.408,-1.4282560444896966,-1.4185147109501872
0.41,-1.4449762482930375,-1.4358153964046414
0.412,-1.4616042930643678,-1.4530638424756268
0.414,-1.4781321991919127,-1.470249380489153
0.416,-1.4945520699562653,-1.4873613413507014
0.418,-1.5108560961166075,-1.5043890695521105
0.42,-1.5270365604386402,-1.5213219372965323
0.422,-1.5430858421614273,-1.5381493586980453
0.424,-1.5589964214003897,-1.5548608040121814
0.426,-1.5747608834837432,-1.571445813853538
0.428,-1.5903719232197007,-1.587894013356852
0.43,-1.6058223490918082,-1.6041951262383685
0.432,-1.6211050873798358,-1.620338988715071
0.434,-1.6362131862036808,-1.6363155632403048
0.436,-1.6511398194878013,-1.6521149520155682
0.438,-1.6658782908437417,-1.6677274102397055
0.44,-1.6804220373683667,-1.6831433590584082
0.442,-1.6947646333554658,-1.6983533981788268
0.444,-1.7088997939184654,-1.713348318116175
0.446,-1.7228213785220186,-1.7281191120414414
0.448,-1.7365233944203127,-1.7426569872016962
0.45,-1.75,-1.7569533758870333
0.452,-1.7632455080256961,-1.7709999459207286
0.454,-1.7762543887860829,-1.7847886106519466
0.456,-1.7890212731386836,-1.7983115384330022
0.458,-1.801540955451469,-1.811561161565976
0.46,-1.8138083964395044,-1.8245301847062274
0.462,-1.8258187258949101,-1.8372115927130652
0.464,-1.837567245308495,-1.8495986579405592
0.466,-1.8490494303814704,-1.8616849469640528
0.468,-1.8602609334257316,-1.87346432674049
0.47,-1.871197585651263,-1.8849309702030594
0.472,-1.8818553993392988,-1.8960793612929816
0.474,-1.8922305698999302,-1.9069042994333687
0.476,-1.9023194778129429,-1.917400903452097
0.478,-1.9121186904507237,-1.9275646149624488
0.48,-1.9216249637821632,-1.9373912012118937
0.482,-1.9308352439565477,-1.9468767574108559
0.484,-1.939746668766516,-1.9560177085545587
0.486,-1.948356568989231,-1.964810810752101
0.488,-1.9566624696049904,-1.97325315207779
0.49,-1.9646620908925823,-1.9813421529604422
0.492,-1.9723533494007652,-1.98907556612683
0.494,-1.9797343587953395,-1.9964514761157792
0.496,-1.9868034305813398,-2.0034682983795444
0.498,-1.9935590746999736,-2.010124777989038
0.5,-2,-2.016419987959337
0.502,-2.0061251145833263,-2.0223533272115257
0.504,-2.0119335260246776,-2.0279245181864907
0.506,-2.017424541465274,-2.0331336041257257
0.508,-2.022597667580535,-2.0379809460335143
0.51,-2.0274526104218955,-2.0424672193341458
0.512,-2.0319892751329234,-2.046593410236974
0.514,-2.036207765539974,-2.050360811821314
0.516,-2.040108383617731,-2.053771019852255
0.518,-2.0436916288300293,-2.0568259283375934
0.52,-2.0469581973464677,-2.0595277248351893
0.522,-2.049908981135362,-2.061878885519186
0.524,-2.0525450669336998,-2.0638821700126733
0.526,-2.0548677350948137,-2.0655406159936214
0.528,-2.056878458314575,-2.0668575335801473
0.53,-2.058578900236988,-2.0678364995005474
0.532,-2.0599709139401385,-2.0684813510529416
0.534,-2.0610565403035253,-2.068796179858908
0.536,-2.0618380062578763,-2.068785325415088
0.538,-2.0623177229186345,-2.0684533684464856
0.54,-2.0624982836043593,-2.067805124065009
0.542,-2.0623824617413664,-2.066845634736728
0.544,-2.0619732086560085,-2.0655801630614183
0.546,-2.0612736512560588,-2.0640141843680886
0.548,-2.060287089602731,-2.062153379130484
0.55,-2.0590169943749475,-2.0600036252069343
0.552,-2.0574670042275223,-2.057570989909395
0.554,-2.055640923045005,-2.0548617219070944
0.556,-2.0535427170929825,-2.0518822429708625
0.558,-2.051176512068716,-2.0486391395649406
0.56,-2.0485465900530446,-2.04513915429386
0.562,-2.045657386365543,-2.0413891772128383
0.564,-2.042513486325004,-2.0373962370110097
0.566,-2.0391196219173437,-2.0331674920777334
0.568,-2.0354806683731206,-2.0287102214631534
0.57,-2.031601640656881,-2.024031815745112
0.572,-2.0274876898706338,-2.019139767815446
0.574,-2.0231440995737757,-2.0140416635995937
0.576,-2.0185762820218778,-2.0087451727243026
0.578,-2.0137897743267605,-2.0032580391490473
0.58,-2.008790234540356,-1.9975880717775159
0.582,-2.0035834376648993,-1.991743135066209
0.584,-1.9981752715920265,-1.9857311396478172
0.586,-1.9925717329734196,-1.9795600329875187
0.588,-1.986778923025664,-1.9732377900908045
0.59,-1.9808030432720347,-1.9667724042817039
0.592,-1.974650391223966,-1.9601718780705357
0.594,-1.9683273560049948,-1.9534442141303519
0.596,-1.9618404139200039,-1.9465974064012466
0.598,-1.9551961239726274,-1.9396394313415621
0.6,-1.9484011233337102,-1.932578239344723
0.602,-1.9414621227637476,-1.9254217463401018
0.604,-1.9343859019922514,-1.9181778255957829
